"sensorId","type","value","createdAt"
"28D00594970203C6","AMBIENT_TEMPERATURE",14,"2023-10-22 18:04:58.347+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",15.5,"2023-09-17 04:02:13.958+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",35106.812,"2023-12-13 00:48:05.796+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",34995.257,"2023-12-19 03:48:13.877+00"
"28182943D4E13CAC","TEMPERATURE",20.4,"2023-12-13 00:48:05.74+00"
"2812CE43D4E13CE8","TEMPERATURE",7.59,"2023-12-13 00:48:05.764+00"
"28351643D4E13CBB","TEMPERATURE",12.9,"2023-12-13 00:48:05.778+00"
"28F64A43D4E13CC9","TEMPERATURE",26.9,"2023-12-19 03:48:13.858+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.912,"2023-12-02 17:38:02.611+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.677,"2023-12-13 00:48:05.719+00"
"28F64A43D4E13CC9","TEMPERATURE",19.9,"2023-12-13 00:48:05.766+00"
"28214043D4E13C35","TEMPERATURE",14.34,"2023-12-13 00:48:05.781+00"
"28182943D4E13CAC","TEMPERATURE",25.4,"2023-12-19 03:48:13.82+00"
"28A53A43D4E13CD3","TEMPERATURE",2.4,"2023-12-19 03:48:13.861+00"
"28182943D4E13CAC","TEMPERATURE",24.9,"2023-12-25 06:39:07.54+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.039,"2023-11-27 17:07:52.953+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",2.5,"2023-11-27 17:07:52.984+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",14,"2023-12-02 17:38:02.633+00"
"286C3543D4E13CB5","TEMPERATURE",24.96,"2023-12-13 00:48:05.756+00"
"28D39E43D4E13CD5","TEMPERATURE",9.02,"2023-12-13 00:48:05.783+00"
"28351643D4E13CBB","TEMPERATURE",22.4,"2023-12-25 06:39:07.591+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",34231.257,"2023-12-02 17:38:02.675+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",2,"2023-12-13 00:48:05.725+00"
"287C5E43D4E13C8F","TEMPERATURE",16.71,"2023-12-13 00:48:05.761+00"
"28A53A43D4E13CD3","TEMPERATURE",6.9,"2023-12-13 00:48:05.776+00"
"2812CE43D4E13CE8","TEMPERATURE",2.09,"2023-12-19 03:48:13.855+00"
"28D39E43D4E13CD5","TEMPERATURE",5.02,"2023-12-19 03:48:13.882+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",26.5,"2023-09-07 16:14:06.114+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",15.5,"2023-09-17 04:20:07.795+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.791,"2023-09-29 09:33:19.691+00"
"287C5E43D4E13C8F","TEMPERATURE",19.21,"2023-12-25 06:39:07.544+00"
"28A53A43D4E13CD3","TEMPERATURE",13.9,"2023-12-25 06:39:07.585+00"
"B4:8A:0A:81:06:00-Hiveweight","WEIGHT",35217.655,"2023-11-27 17:07:53.03+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",25.5,"2023-09-07 16:31:58.237+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",16,"2023-09-17 04:38:03.59+00"
"28182943D4E13CAC","TEMPERATURE",20.9,"2023-12-28 02:50:14.303+00"
"28D39E43D4E13CD5","TEMPERATURE",9.52,"2023-12-28 02:50:14.344+00"
"28351643D4E13CBB","TEMPERATURE",14.4,"2023-12-28 02:50:14.358+00"
"28D00594970203C6","AMBIENT_TEMPERATURE",5.5,"2023-12-08 00:07:47.143+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",4.08,"2023-09-07 16:31:58.199+00"
"B4:8A:0A:81:06:00-BatteryVoltage","BATTERY_VOLTAGE",3.87,"2023-09-17 04:38:03.572+00"
